website,item_title,price,image_url,product_url,date
bestprice,Pokemon TCG: Scarlet & Violet Black Bolt - Binder Collection,"45,00€",https://bbpcdn.pstatic.gr/bpimg60/d0Ssc/1UEi6j_SX250Y250/1753210351/pokemon-tcg-scarlet-violet-black-bolt-binder-collection.webp,"https://www.bestprice.gr/to/192301692/pokemon-tcg-scarlet-violet-black-bolt-binder-collection.html?qid=9K0xxdIuaMI_ccea5&seq=13&qo=pokemon+tcg&from=search&ct=5qSePz-1H4SdL-eOh8c,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Melmetal ex Battle Deck,"16,90€",https://bbpcdn.pstatic.gr/bpimg13/d0O85/1UEcvx_SX250Y250/1753188851/pokemon-tcg-melmetal-ex-battle-deck.webp,"https://www.bestprice.gr/to/192285069/pokemon-tcg-melmetal-ex-battle-deck.html?qid=9K0xxdIuaMI_ccea5&seq=14&qo=pokemon+tcg&from=search&ct=axpdh-1W86qG-eOcv9,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet & Violet - Black Bolt & White Flare Poster Collection POK113992,"37,92€",https://bbpcdn.pstatic.gr/bpimg41/cZxRT/1UCn9K_SX250Y250/1752753128/pokemon-tcg-scarlet-violet-black-bolt-white-flare-poster-collection-pok113992.webp,"https://www.bestprice.gr/to/191984233/pokemon-tcg-scarlet-violet-black-bolt-white-flare-poster-collection-pok113992.html?qid=9K0xxdIuaMI_ccea5&seq=15&qo=pokemon+tcg&from=search&ct=5mIoAF-1CRzLS-eMMVd,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet & Violet Black Bolt - Binder Collection,"49,99€",https://bbpcdn.pstatic.gr/bpimg61/cZqix/1UCkJz_SX250Y250/1752743817/pokemon-tcg-scarlet-violet-black-bolt-binder-collection.webp,"https://www.bestprice.gr/to/191955133/pokemon-tcg-scarlet-violet-black-bolt-binder-collection.html?qid=9K0xxdIuaMI_ccea5&seq=16&qo=pokemon+tcg&from=search&ct=4BPzLX-S0CSc-eMEQd,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Sv10.5 Black Bolt And White Flare - Unova Poster Collection (POK100401),"28,90€",https://bbpcdn.pstatic.gr/bpimg28/cZZBq/1UCIYs_SX250Y250/1752836996/pokemon-tcg-sv105-black-bolt-and-white-flare-unova-poster-collection.webp,"https://www.bestprice.gr/to/192090844/pokemon-tcg-sv10-5-black-bolt-and-white-flare-unova-poster-collection.html?qid=9K0xxdIuaMI_ccea5&seq=17&qo=pokemon+tcg&from=search&ct=3lcERS-58Ksae-eNiy4,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet + Violet - Paradox Rift Booster Pack - 10 Cards (187-85725),"5,99€",https://bbpcdn.pstatic.gr/bpimg23/9UJcH/1Ry6hR_SX250Y250/1707405963/pokemon-tcg-scarlet-violet-paradox-rift-booster-pack-10-cards.webp,"https://www.bestprice.gr/to/146507159/pokemon-tcg-scarlet-plus-violet-paradox-rift-booster-pack-10-cards.html?qid=9K0xxdIuaMI_ccea5&seq=18&qo=pokemon+tcg&from=search&ct=4mwHh4-zblV3-bigpX,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Origin Forme Palkia VSTAR League Battle Deck,"32,90€",https://bbpcdn.pstatic.gr/bpimg54/a6T0G/1RJO1C_SX250Y250/1710195700/pokemon-tcg-origin-forme-palkia-vstar-league-battle-deck.webp,"https://www.bestprice.gr/to/149404790/pokemon-tcg-origin-forme-palkia-vstar-league-battle-deck.html?qid=9K0xxdIuaMI_ccea5&seq=19&qo=pokemon+tcg&from=search&ct=1IQbxh-3t8lzn-bvFjO,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Card 2013 XY Kalos Starter Set Braixen 9/39,"6,89€",https://bbpcdn.pstatic.gr/bpimg55/9B531/1RdMn5_SX250Y250/1702562847/pokemon-tcg-card-2013-xy-kalos-starter-set-braixen-939.webp,"https://www.bestprice.gr/to/141824567/pokemon-tcg-card-2013-xy-kalos-starter-set-braixen-9-39.html?qid=9K0xxdIuaMI_ccea5&seq=20&qo=pokemon+tcg&from=search&ct=MSvi6-2wzzH9-aUzGL,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - First Partner Accessory Bundle,"35,99€",https://bbpcdn.pstatic.gr/bpimg33/bkicx/1T0hda_SX250Y250/1728897476/pokemon-tcg-first-partner-accessory-bundle.webp,"https://www.bestprice.gr/to/167376225/pokemon-tcg-first-partner-accessory-bundle.html?qid=9K0xxdIuaMI_ccea5&seq=21&qo=pokemon+tcg&from=search&ct=fJHbQ-21p5hR-cSRnJ,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Scarlet & Violet 6: Twilight Masquerade Booster,"6,90€",https://bbpcdn.pstatic.gr/bpimg40/awEI0/1Saj7X_SX250Y250/1716511785/pokemon-tcg-scarlet-violet-6-twilight-masquerade-booster.webp,"https://www.bestprice.gr/to/155546344/pokemon-tcg-scarlet-violet-6-twilight-masquerade-booster.html?qid=9K0xxdIuaMI_ccea5&seq=22&qo=pokemon+tcg&from=search&ct=5oVEoz-1Ci9VD-c07j4,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Pokemon GO Collection Exeggutor V Box,"29,90€",https://bbpcdn.pstatic.gr/bpimg47/aA6yr/1Se4wt_SX250Y250/1717408957/pokemon-tcg-pokemon-go-collection-exeggutor-v-box.webp,"https://www.bestprice.gr/to/156368367/pokemon-tcg-pokemon-go-collection-exeggutor-v-box.html?qid=9K0xxdIuaMI_ccea5&seq=23&qo=pokemon+tcg&from=search&ct=2G41XF-4qQqlo-c3TDr,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Gardevoir ex League Battle Deck (POK857539),"47,99€",https://bbpcdn.pstatic.gr/bpimg27/aKYEb/1Sn7FX_SX250Y250/1719566029/pokemon-tcg-gardevoir-ex-league-battle-deck.webp,"https://www.bestprice.gr/to/158959579/pokemon-tcg-gardevoir-ex-league-battle-deck.html?qid=9K0xxdIuaMI_ccea5&seq=24&qo=pokemon+tcg&from=search&ct=3o5fP5-595DXE-cfTqj,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Scarlet & Violet White Flare - Booster,"7,50€",https://bbpcdn.pstatic.gr/bpimg41/d9d0J/1UPLQN_SX250Y250/1755946317/pokemon-tcg-scarlet-violet-white-flare-booster.webp,"https://www.bestprice.gr/to/194287337/pokemon-tcg-scarlet-violet-white-flare-booster.html?seq=61&qo=pokemon+tcg&from=search&ct=3xzg9w-5ljdy5-eXsGh,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet & Violet Stellar Crown - Elite Trainer Box,"69,99€",https://bbpcdn.pstatic.gr/bpimg36/cIk0Q/1UnOf0_SX250Y250/1749282322/pokemon-tcg-scarlet-violet-stellar-crown-elite-trainer-box.webp,"https://www.bestprice.gr/to/187879396/pokemon-tcg-scarlet-violet-stellar-crown-elite-trainer-box.html?seq=62&qo=pokemon+tcg&from=search&ct=4AuNtD-Ql0qT-etMHg,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Iono's Bellibolt ex Premium Collection,"56,90€",https://bbpcdn.pstatic.gr/bpimg35/d980X/1UPrSY_SX250Y250/1755869572/pokemon-tcg-ionos-bellibolt-ex-premium-collection.webp,"https://www.bestprice.gr/to/194268131/pokemon-tcg-ionos-bellibolt-ex-premium-collection.html?seq=63&qo=pokemon+tcg&from=search&ct=50qw4l-1gKhEw-eXnmb,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet & Violet Surging Sparks 1 Booster Pack POK859281,"9,19€",https://bbpcdn.pstatic.gr/bpimg33/cWcDf/1UyGoZ_SX250Y250/1751873797/pokemon-tcg-scarlet-violet-surging-sparks-1-booster-pack-pok859281.webp,"https://www.bestprice.gr/to/191187617/pokemon-tcg-scarlet-violet-surging-sparks-1-booster-pack-pok859281.html?seq=64&qo=pokemon+tcg&from=search&ct=5tdLnv-1JjhhM-eJ7Eh,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - 2024 World Championships Deck: Regidrago VSTAR,"27,90€",https://bbpcdn.pstatic.gr/bpimg45/d0fJX/1UD9R8_SX250Y250/1752940330/pokemon-tcg-2024-world-championships-deck-regidrago-vstar.webp,"https://www.bestprice.gr/to/192152877/pokemon-tcg-2024-world-championships-deck-regidrago-vstar.html?seq=65&qo=pokemon+tcg&from=search&ct=1X3Avs-3KBF1F-eNzLV,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Sv10.5 Black Bolt Binder Collection (POK100392),"47,50€",https://bbpcdn.pstatic.gr/bpimg26/cZZBo/1UCIYs_SX250Y250/1752836996/pokemon-tcg-sv105-black-bolt-binder-collection.webp,"https://www.bestprice.gr/to/192090842/pokemon-tcg-sv10-5-black-bolt-binder-collection.html?seq=66&qo=pokemon+tcg&from=search&ct=30rLIp-4M1z0H-eNiy2,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Build & Battle Stadium Box,"70,99€",https://bbpcdn.pstatic.gr/bpimg36/bkigI/1T0hc5_SX250Y250/1728897409/pokemon-tcg-build-battle-stadium-box.webp,"https://www.bestprice.gr/to/167376484/pokemon-tcg-build-battle-stadium-box.html?seq=67&qo=pokemon+tcg&from=search&ct=46u10v-kJgGz-cSRs4,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Grafaiai ex Box,"24,90€",https://bbpcdn.pstatic.gr/bpimg34/agJr4/1RT9Nj_SX250Y250/1712424333/pokemon-tcg-grafaiai-ex-box.webp,"https://www.bestprice.gr/to/151751266/pokemon-tcg-grafaiai-ex-box.html?seq=68&qo=pokemon+tcg&from=search&ct=3bw0R3-4TX2H5-bGx7K,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Back to School Eraser Blister Smoliv,"19,90€",https://bbpcdn.pstatic.gr/bpimg22/awKNw/1Sav6V_SX250Y250/1716557849/pokemon-tcg-back-to-school-eraser-blister-smoliv.webp,"https://www.bestprice.gr/to/155569750/pokemon-tcg-back-to-school-eraser-blister-smoliv.html?seq=69&qo=pokemon+tcg&from=search&ct=4XUfrH-1dgPuR-c0dNa,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Cynthias Garchomp ex Premium Collection,"53,89€",https://bbpcdn.pstatic.gr/bpimg24/d1vo4/1UFcMW_SX250Y250/1753428258/pokemon-tcg-cynthias-garchomp-ex-premium-collection.webp,"https://www.bestprice.gr/to/192451352/pokemon-tcg-cynthias-garchomp-ex-premium-collection.html?seq=70&qo=pokemon+tcg&from=search&ct=2o06vh-4bzxU5-eOWGw,gcpEtUFezKM",25/08/2025
