website,item_title,price,image_url,product_url,date
bestprice,Pokemon TCG Card 2013 XY Kalos Starter Set Braixen 9/39,"6,89€",https://bbpcdn.pstatic.gr/bpimg55/9B531/1RdMn5_SX250Y250/1702562847/pokemon-tcg-card-2013-xy-kalos-starter-set-braixen-939.webp,"https://www.bestprice.gr/to/141824567/pokemon-tcg-card-2013-xy-kalos-starter-set-braixen-9-39.html?qid=9K0xxdIptF__02e81&seq=1&qo=pokemon+tcg&from=search&ct=2u99he-4dJpbQ-aUzGL,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Origin Forme Palkia VSTAR League Battle Deck,"32,90€",https://bbpcdn.pstatic.gr/bpimg54/a6T0G/1RJO1C_SX250Y250/1710195700/pokemon-tcg-origin-forme-palkia-vstar-league-battle-deck.webp,"https://www.bestprice.gr/to/149404790/pokemon-tcg-origin-forme-palkia-vstar-league-battle-deck.html?qid=9K0xxdIptF__02e81&seq=2&qo=pokemon+tcg&from=search&ct=4fN8LA-sAnP1-bvFjO,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG Scarlet + Violet - Paradox Rift Booster Pack - 10 Cards (187-85725),"5,99€",https://bbpcdn.pstatic.gr/bpimg23/9UJcH/1Ry6hR_SX250Y250/1707405963/pokemon-tcg-scarlet-violet-paradox-rift-booster-pack-10-cards.webp,"https://www.bestprice.gr/to/146507159/pokemon-tcg-scarlet-plus-violet-paradox-rift-booster-pack-10-cards.html?qid=9K0xxdIptF__02e81&seq=3&qo=pokemon+tcg&from=search&ct=1FG7tH-3pE47x-bigpX,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG - Gardevoir ex League Battle Deck (POK857539),"47,99€",https://bbpcdn.pstatic.gr/bpimg27/aKYEb/1Sn7FX_SX250Y250/1719566029/pokemon-tcg-gardevoir-ex-league-battle-deck.webp,"https://www.bestprice.gr/to/158959579/pokemon-tcg-gardevoir-ex-league-battle-deck.html?qid=9K0xxdIptF__02e81&seq=4&qo=pokemon+tcg&from=search&ct=fRQFL-20NsjV-cfTqj,g5gDJBFbWo7",24/08/2025
bestprice,POKEMON TCG: POKE BALL TIN 2024 (ΤΥΧΑΙΑ ΕΠΙΛΟΓΗ) - POK858840,"18,41€",https://bbpcdn.pstatic.gr/bpimg5/bUDit/1TSbDz_SX250Y250/1741745761/pokemon-tcg-poke-ball-tin-2024-pok858840.webp,"https://www.bestprice.gr/to/176037125/pokemon-tcg-poke-ball-tin-2024-pok858840.html?qid=9K0xxdIptF__02e81&seq=5&qo=pokemon+tcg&from=search&ct=3wukWw-5iJ0ms-dyXc5,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Battle Decks - VictiniEX MiraidonEX (Random) (POK867545),"18,90€",https://bbpcdn.pstatic.gr/bpimg0/bOEHm/1Tvs4t_SX250Y250/1736327389/pokemon-tcg-battle-decks-victiniex-miraidonex.webp,"https://www.bestprice.gr/to/174612544/pokemon-tcg-battle-decks-victiniex-miraidonex.html?qid=9K0xxdIptF__02e81&seq=6&qo=pokemon+tcg&from=search&ct=1qylMx-3cGpts-dsnt4,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Zapdos ex Deluxe Battle Deck,"25,90€",https://bbpcdn.pstatic.gr/bpimg41/bnaDn/1T2Jkf_SX250Y250/1729482203/pokemon-tcg-zapdos-ex-deluxe-battle-deck.webp,"https://www.bestprice.gr/to/168062121/pokemon-tcg-zapdos-ex-deluxe-battle-deck.html?qid=9K0xxdIptF__02e81&seq=7&qo=pokemon+tcg&from=search&ct=1KPv0a-3wtf7m-cW3Tl,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Σετ καρτών μάχης League Battle Deck Dragapult ex,"60,63€",https://bbpcdn.pstatic.gr/bpimg11/cqR4f/1Uc2XS_SX250Y250/1746478984/pokemon-tcg-set-kartwn-maxhs-league-battle-deck-dragapult-ex.webp,"https://www.bestprice.gr/to/183716555/pokemon-tcg-set-karton-machis-league-battle-deck-dragapult-ex.html?qid=9K0xxdIptF__02e81&seq=8&qo=pokemon+tcg&from=search&ct=2mbvaj-491HIJ-eawmz,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Terapagos ex Ultra Premium Collection (POK858666),"169,90€",https://bbpcdn.pstatic.gr/bpimg39/c7MAD/1TNfBX_SX250Y250/1740569397/pokemon-tcg-terapagos-ex-ultra-premium-collection.webp,"https://www.bestprice.gr/to/179171111/pokemon-tcg-terapagos-ex-ultra-premium-collection.html?qid=9K0xxdIptF__02e81&seq=9&qo=pokemon+tcg&from=search&ct=38Kf5J-4Tfp2L-dNtJb,g5gDJBFbWo7",24/08/2025
bestprice,Pokemon TCG: Melmetal ex Battle Deck,"16,90€",https://bbpcdn.pstatic.gr/bpimg13/d0O85/1UEcvx_SX250Y250/1753188851/pokemon-tcg-melmetal-ex-battle-deck.webp,"https://www.bestprice.gr/to/192285069/pokemon-tcg-melmetal-ex-battle-deck.html?qid=9K0xxdIptF__02e81&seq=10&qo=pokemon+tcg&from=search&ct=5aoGlm-1qusA6-eOcv9,g5gDJBFbWo7",24/08/2025
