set_name,item_title,raw_price,image_url
Pokemon 1999 Topps Tv,Charmander [Tin Topper] #4,$29.99,https://storage.googleapis.com/images.pricecharting.com/ehe6nobj2rdkjqtk/60.jpg
Pokemon 1999 Topps Tv,Bulbasaur [Tin Topper] #3,$15.99,https://storage.googleapis.com/images.pricecharting.com/4f56oks6ogetlufb/60.jpg
Pokemon 1999 Topps Tv,Squirtle [Tin Topper] #7,$14.63,https://storage.googleapis.com/images.pricecharting.com/n4kwilauxdaktsil/60.jpg
Pokemon 1999 Topps Tv,Pikachu [Tin Topper] #1,,https://storage.googleapis.com/images.pricecharting.com/r4hksqqvshekljy3/60.jpg
Pokemon Base Set,Booster Box [1st Edition],"$193,750.00",https://storage.googleapis.com/images.pricecharting.com/91749045dc974aaeaf9943a17290bb3affadda4fd4e245c1dc58f3de87a9fb10/60.jpg
Pokemon Base Set,Booster Pack [1st Edition],"$3,281.50",https://storage.googleapis.com/images.pricecharting.com/46836f7c135e706c48208e9dcfd759397baed9a68a4dd6cc6c23335ca84f7610/60.jpg
Pokemon Base Set,Booster Box,"$22,187.74",https://storage.googleapis.com/images.pricecharting.com/da56f9168ae5191c976d68dfa42b598a74c0ef47b78977250456d81337475d34/60.jpg
Pokemon Base Set,Booster Pack,$474.06,https://storage.googleapis.com/images.pricecharting.com/765dcc4e01db9def647f93c2ed938f9dfdd3b20619e6b1aadbe30f7486fb2800/60.jpg
Pokemon Aquapolis,Booster Pack,$898.75,https://storage.googleapis.com/images.pricecharting.com/e1560cbe2173e34732bb22e898cf88e78fcaecfc5b61a3052ecfb786ec3424af/60.jpg
Pokemon Aquapolis,Espeon [Box Topper] #6,$170.99,https://storage.googleapis.com/images.pricecharting.com/f28516eefd5e26eb75c4e1e47668f82e497df9d99dea55c9c3df4f2c6b7a38ca/60.jpg
Pokemon Aquapolis,Booster Box,"$13,766.70",https://storage.googleapis.com/images.pricecharting.com/005a4e16932ccf17a3538793a6ffb5e082bdbe3a7fa7c5ca6fc12ca4a21884fa/60.jpg
Pokemon Aquapolis,Entei [Box Topper] #5,$114.40,https://storage.googleapis.com/images.pricecharting.com/bfbfb7c2ec2221a9fb0aedee39fc6e53440a8a20898525c88e73da735992dbf9/60.jpg
Pokemon Aquapolis,Scizor [Box Topper] #7,$116.72,https://storage.googleapis.com/images.pricecharting.com/ee4ddc5513b1c59c7cf48e6887a4be0c6702892d7957dd5c70298cbbb8dd6474/60.jpg
Pokemon Aquapolis,Suicune [Box Topper] #8,$99.83,https://storage.googleapis.com/images.pricecharting.com/852c15810c1a4b59fb8f753e4ee47d5cb4ceb7cd0f9bbd53eb38577b0fcdb5aa/60.jpg
Pokemon Aquapolis,Blister Pack,"$1,431.82",https://storage.googleapis.com/images.pricecharting.com/fd35a9d70a89720d38af409d076412ca46b3a985cab96eaf0e8268c4bfa91c6b/60.jpg
Pokemon Aquapolis,Fighting Cube 01 #121,$2.99,https://storage.googleapis.com/images.pricecharting.com/197a58c36385630e193e7fb6e6b9f10466aa00ee5e95c8051e5392daa9e5d22c/60.jpg
Pokemon Aquapolis,Fighting Cube 01 [Reverse Holo] #121,$3.13,https://storage.googleapis.com/images.pricecharting.com/ac7abd1abaa55a87886ea6d9334f058c712f06bd85f2185d7ecee7e8a5566cb2/60.jpg
Pokemon 2000 Topps Chrome,Booster Pack,$479.99,https://storage.googleapis.com/images.pricecharting.com/5wzjh2jp2w4jpdaw/60.jpg
Pokemon 2000 Topps Chrome,Dratini #147,$18.11,https://storage.googleapis.com/images.pricecharting.com/hkwvpo5rrnerdjbw/60.jpg
Pokemon 2000 Topps Chrome,Booster Pack: Series 2,$844.73,https://storage.googleapis.com/images.pricecharting.com/gnqkqznbtrwbd3oa/60.jpg
Pokemon 2000 Topps Chrome,Dratini [Tekno] #147,$237.50,https://storage.googleapis.com/images.pricecharting.com/corrkwvljie2cptqk2jh/60.jpg
Pokemon 2000 Topps Chrome,Dratini [Spectra] #147,$54.42,https://storage.googleapis.com/images.pricecharting.com/0e2994d0582a738e52343e053a141170e8d1d88d4eda0aa55cbacb53621f1c9e/60.jpg
Pokemon 2000 Topps Chrome,Dratini [Sparkle] #147,$290.00,https://storage.googleapis.com/images.pricecharting.com/corrbpgulij5ey2ati5y/60.jpg
Pokemon 2000 Topps Chrome,Booster Box [Series 1],,https://storage.googleapis.com/images.pricecharting.com/gnci2xm2i5wgamey/60.jpg
Pokemon Breakpoint,Booster Pack,$22.28,https://storage.googleapis.com/images.pricecharting.com/a26f31df6afdc4f5bb2693b2c3a6f8ffac3147fe29ca0a7610f54339da00da72/60.jpg
Pokemon Breakpoint,Booster Box,$345.00,https://storage.googleapis.com/images.pricecharting.com/cbbcb2abaaad3b26b2b7dae7ee9d98e11e976cedbe152d7101cc77d67fa94871/60.jpg
Pokemon Breakpoint,Elite Trainer Box,$214.49,https://storage.googleapis.com/images.pricecharting.com/0991f12fa4daeb77b82e04b1801868922c0899c261b6efb44fcf7bdd60a91759/60.jpg
Pokemon Breakpoint,Fighting Fury Belt #99,$1.72,https://storage.googleapis.com/images.pricecharting.com/52bacb02df8ec89c31324bb051dac9af5a023ed72d5361cc366395152d767155/60.jpg
Pokemon Breakpoint,Bursting Balloon #97,$1.31,https://storage.googleapis.com/images.pricecharting.com/bbdd9abb262256425018c3c57522051e569adf719c147ef30ff6d679b00f6d60/60.jpg
Pokemon Breakpoint,Triple Powers Tin: Machamp,$93.00,https://storage.googleapis.com/images.pricecharting.com/vzmeugy3yhdvnpzj/60.jpg
Pokemon Breakpoint,Fighting Fury Belt [Reverse Holo] #99,$2.24,https://storage.googleapis.com/images.pricecharting.com/adece3fd021affcbfe459056cca7f8c74bf57b13ad75ee9ee6e62bdc5bf770d1/60.jpg
Pokemon Breakpoint,Bursting Balloon [Reverse Holo] #97,$2.04,https://storage.googleapis.com/images.pricecharting.com/59a2e51d0e5e5d9a9f9c78ad25c779554a7222d8d982c9a88464b84a9a6a8f72/60.jpg
Pokemon Base Set 2,Booster Pack,$280.51,https://storage.googleapis.com/images.pricecharting.com/a2d63b1e816de988440788dbffbb8d7c90c5d0dab964bd1a914f8a0dbe76fa7e/60.jpg
Pokemon Base Set 2,Booster Box,"$10,749.50",https://storage.googleapis.com/images.pricecharting.com/2449d486c608ea96843c76889ad9ad33ceb5885026f633a728c089d0bd912925/60.jpg
Pokemon Base Set 2,Dratini #38,$1.72,https://storage.googleapis.com/images.pricecharting.com/b76d4ddc6d1e6999df043c83afdf61524ffd88570f55c2bf75332f631cf11023/60.jpg
